id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
39446224,Stylish 3br/2ba Duplex in Noble Square/Wicker Park,4290518,Steven,,West Town,41.90199,-87.66215,Entire home/apt,143,2,19,8/30/2020,1.62,1,104
39447179,Cozy Home in the City,73609551,Chad,,Lincoln Park,41.91483,-87.63608,Entire home/apt,120,1,0,,,1,0
39447739,EXELLENT LOCATION  ON MICHIGAN AVE & CHESTNUT +GYM,3965428,Rob,,Near North Side,41.89903,-87.62043,Entire home/apt,120,31,0,,,74,365
39449591,Spacious homely feeling apartment in Jefferson Prk,303026932,Alexandru,,Albany Park,41.96796,-87.73063,Entire home/apt,80,3,8,10/4/2020,0.66,1,87
39461714,The Man/woman Cave Getaway,303114209,Brandie,,South Shore,41.75531,-87.57325,Private room,100,2,0,,,1,179
39467986,A Hidden Gem,48764722,Doris,,Austin,41.89989,-87.75492,Private room,40,3,0,,,1,21
39481496,PRISTINE PREMIER LUXURY 3-STORY GREYSTONE HOME!!!,253843745,Tommy,,Lake View,41.94574,-87.66146,Entire home/apt,850,2,9,10/19/2020,0.82,2,315
39484056,Remodeled 2BR /2BA * Downtown * 2 Car Garage,293243785,Veerpal,,Near West Side,41.86544,-87.65553,Entire home/apt,132,2,17,7/9/2020,1.39,1,0
39484839,Cozy Unit Right by Downtown & Blue Line Train Stop,25668821,Kam,,West Town,41.89645,-87.65528,Entire home/apt,76,2,12,10/8/2020,1.08,5,0
39484923,"Steps to Shops, Eats, Bars | Easy Access | Zencity",47172572,Zencity,,West Town,41.89827,-87.66528,Entire home/apt,56,1,45,10/8/2020,4.03,59,181
39484928,"Walk to IMD, Eats, Bars | EZ Access + WD | Zencity",47172572,Zencity,,Lower West Side,41.85548,-87.66021,Entire home/apt,68,1,34,10/11/2020,2.88,59,163
39484929,"Walk to IMD, Eats, Bars | EZ Access + WD | Zencity",47172572,Zencity,,Lower West Side,41.85395,-87.65982,Entire home/apt,58,1,31,10/20/2020,2.65,59,98
39485026,Former factory transformed to modern condo,23806045,Patrick,,West Town,41.89645,-87.65835,Entire home/apt,225,2,3,11/17/2019,0.25,1,0
39502020,Private Room in Historic Bronzeville,303464561,Glenance,,Grand Boulevard,41.80592,-87.61041,Private room,30,2,13,9/22/2020,1.09,1,157
39502907,The Studio at Elston House,1673262,Barbara,,Avondale,41.93434,-87.68808,Entire home/apt,45,30,1,5/2/2020,0.17,1,34
39504326,Peaceful South Loop Retreat Near Downtown Chicago!,303484102,No Limits Patrice,,Douglas,41.8413,-87.62222,Entire home/apt,115,1,11,9/8/2020,1,1,178
39507009,Family room. Additional space for your comfort.,149288256,Debbie,,Washington Heights,41.71648,-87.6434,Private room,80,1,0,,,1,143
39509741,"Cozy, Artsy Gem in Historic Pullman",303537908,Valerie,,Pullman,41.69047,-87.60714,Entire home/apt,100,2,15,8/23/2020,1.31,1,128
39519693,𝖴𝗋𝖻𝖺𝗇 𝖢𝗁𝗂𝖼 𝖲𝗍𝗎𝖽𝗂𝗈—𝖧𝗎𝗆𝖻𝗈𝗅𝖽𝗍 𝖯𝖺𝗋𝗄 𝖥𝖱𝖤𝖤 𝗉𝖺𝗋𝗄𝗂𝗇𝗀,130495187,Danny,,Humboldt Park,41.91195,-87.70194,Entire home/apt,49,4,24,5/24/2020,2.06,1,0
39529554,Loyola/Northwestern Chicago - 6 bed Comfort Flat,106809124,Ryan,,West Ridge,41.99873,-87.68635,Entire home/apt,98,30,1,8/26/2020,0.5,1,146
39530582,Modern vintage chic steps from Wrigley Field!,73072955,Julianne,,Lake View,41.95187,-87.65444,Entire home/apt,249,2,18,6/28/2020,1.48,1,82
39539648,Amazing Large Unit in Lakeview East!,303799160,Stephan,,Lake View,41.93735,-87.64796,Entire home/apt,150,2,14,9/29/2020,1.16,2,145
39539718,6D2 Upscale Comfy Basement Bedrm Cls Dwntwn+Loyola,22094147,Alexis & Bill,,Austin,41.89387,-87.78041,Private room,38,30,1,12/1/2019,0.09,15,351
39547914,Sleep4-Parking-DePaul-LincPark-English Garden (21),235859050,Bennett,,Lincoln Park,41.92137,-87.65462,Entire home/apt,155,2,0,,,7,111
39550614,Swanky Gold Coast Boutique Hotel - King Bed,303686027,Viceroy,,Near North Side,41.90138,-87.62952,Private room,145,1,1,12/23/2019,0.1,9,110
39550648,Luxurious Private Room with King Bed,303686027,Viceroy,,Near North Side,41.90318,-87.62924,Private room,165,1,1,1/13/2020,0.1,9,108
39550739,Luxurious Private Room with  2 Queen Beds,303686027,Viceroy,,Near North Side,41.90331,-87.62785,Private room,165,1,1,8/20/2020,0.45,9,142
39550769,Luxurious Private King Room with Lake View,303686027,Viceroy,,Near North Side,41.90272,-87.62793,Private room,185,1,7,9/27/2020,0.91,9,116
39550826,Luxurious 2 Queen Private Room with Lake View,303686027,Viceroy,,Near North Side,41.90267,-87.62862,Private room,185,1,0,,,9,105
39550913,Swanky Gold Coast Boutique Hotel - King Bed,303686027,Viceroy,,Near North Side,41.9027,-87.62854,Private room,195,1,0,,,9,94
39551134,Luxurious Private King Room with Lake View,303686027,Viceroy,,Near North Side,41.90145,-87.62999,Private room,215,1,0,,,9,112
