price,neighborhood,latitude,longitude,room_type,bathrooms,bedrooms,beds
79,Lake View,41.93869,-87.64426,Private room,1,1,2
132,Lake View,41.94061,-87.64544,Entire home/apt,2,2,2
70,Lower West Side,41.84828,-87.68021,Private room,1.5,1,1
99,West Town,41.90427,-87.66726,Entire home/apt,1,1,2
65,Lincoln Square,41.96252,-87.67494,Private room,1,1,6
38,Edgewater,41.99673,-87.6626,Private room,1,1,1
135,West Town,41.90531,-87.66735,Entire home/apt,1,2,2
50,Logan Square,41.92769,-87.70003,Private room,1,1,1
137,Lake View,41.94966,-87.64745,Entire home/apt,1,1,1
81,Uptown,41.96705,-87.65772,Private room,1,1,1
125,Lincoln Park,41.91794,-87.64326,Entire home/apt,1,1,1
383,Near North Side,41.89581,-87.61683,Entire home/apt,2,2,2
86,Irving Park,41.95037,-87.71123,Private room,1,3,1
92,Loop,41.87346,-87.62843,Entire home/apt,1,1,2
70,Lake View,41.94278,-87.64898,Private room,1,1,1
209,Logan Square,41.92721,-87.69733,Entire home/apt,2,2,2
60,Edgewater,41.99638,-87.66284,Private room,1,1,1
106,Near North Side,41.90516,-87.6291,Entire home/apt,1,1,1
150,Lincoln Square,41.96841,-87.6851,Entire home/apt,1,2,2
118,Grand Boulevard,41.81954,-87.61594,Private room,1,,1
61,Logan Square,41.9197,-87.70636,Entire home/apt,1,2,1
115,Grand Boulevard,41.81933,-87.61495,Private room,1.5,1,1
45,Forest Glen,41.99574,-87.76232,Entire home/apt,1,1,1
21,West Ridge,42.01653,-87.68788,Shared room,2,1,1
219,Near North Side,41.90672,-87.62905,Entire home/apt,1,2,4
75,Lake View,41.95581,-87.66922,Private room,1,1,1
50,Lower West Side,41.84911,-87.67924,Private room,1,1,2
36,Irving Park,41.96063,-87.70653,Private room,1,1,1
199,North Center,41.95945,-87.67749,Entire home/apt,1,3,3
110,Armour Square,41.85525,-87.63507,Entire home/apt,1.5,3,2
100,Armour Square,41.85586,-87.63569,Entire home/apt,2,3,4
40,Armour Square,41.85643,-87.63134,Private room,0,1,1
90,Irving Park,41.95378,-87.73876,Private room,1,2,2
75,Uptown,41.96654,-87.65702,Private room,2.5,2,2
199,West Town,41.91215,-87.66831,Entire home/apt,2,2,6
121,Near North Side,41.90888,-87.64127,Entire home/apt,1,1,2
80,Rogers Park,42.01117,-87.66466,Entire home/apt,1,1,3
39,Dunning,41.9426,-87.79946,Private room,1,1,2
90,West Town,41.90383,-87.69455,Entire home/apt,1,2,2
162,Uptown,41.95773,-87.64759,Entire home/apt,1,2,2
75,Logan Square,41.92118,-87.68678,Private room,1,1,4
81,Avondale,41.93262,-87.71007,Entire home/apt,1,,1
200,Lake View,41.94092,-87.66843,Entire home/apt,1.5,1,1
51,Logan Square,41.92192,-87.7002,Private room,1,1,2
51,Logan Square,41.9212,-87.69993,Private room,1,1,2
150,South Deering,41.72077,-87.57856,Entire home/apt,1,3,3
105,Lake View,41.942,-87.64778,Entire home/apt,1,1,0
85,West Town,41.90978,-87.67719,Private room,1.5,1,1
265,Uptown,41.97106,-87.66777,Hotel room,2,2,2
125,West Town,41.90738,-87.67713,Entire home/apt,1,1,1
